task_id,probs,runtime,support,stderr
1,"[0.05, 0.15, 0.25, 0.35, 0.2]",2.9677696228027344,"[2, 3, 4, 5, 6]",
2,"[0.10000000000000002, 0.85, 0.05]",3.0458245277404785,"[5, 6, 7]",
3,"[0.25, 0.6, 0.15]",3.108203411102295,"[2, 3, 4]",
4,[1],3.064096212387085,[1],
5,"[0.05, 0.29999999999999993, 0.4, 0.15, 0.10000000000000002]",3.052598237991333,"[1, 2, 3, 4, 5]",
6,"[0.25, 0.75]",3.0914642810821533,"[6, 7]",
7,"[0.10000000000000002, 0.9]",3.1613712310791016,"[6, 7]",
8,"[0.15, 0.5, 0.29999999999999993, 0.05]",3.2574169635772705,"[1, 2, 3, 4]",
9,"[0.25, 0.4, 0.25, 0.10000000000000002]",3.0569746494293213,"[2, 3, 4, 5]",
10,[1],3.1297571659088135,[1],
11,"[0.35, 0.4, 0.25]",3.2523393630981445,"[1, 2, 3]",
12,"[0.29999999999999993, 0.7]",3.2262074947357178,"[6, 7]",
13,"[0.10000000000000002, 0.9]",2.7410898208618164,"[6, 7]",
14,[1],2.8135523796081543,[1],
15,"[0.25, 0.7, 0.05]",2.8750805854797363,"[5, 6, 7]",
16,"[0.05, 0.55, 0.25, 0.10000000000000002, 0.05]",2.8072850704193115,"[2, 3, 4, 5, 6]",
17,"[0.10000000000000002, 0.4, 0.5]",2.8113834857940674,"[1, 2, 3]",
18,"[0.35, 0.6, 0.05]",3.0704333782196045,"[5, 6, 7]",
19,[1],3.4081664085388184,[7],
20,"[0.25, 0.35, 0.35, 0.05]",3.309710741043091,"[3, 4, 5, 6]",
21,"[0.05, 0.35, 0.6]",3.4831809997558594,"[4, 5, 6]",
22,"[0.25, 0.55, 0.15, 0.05]",3.371988534927368,"[1, 2, 3, 5]",
23,"[0.35, 0.25, 0.25, 0.10000000000000002, 0.05]",3.2759315967559814,"[3, 4, 5, 6, 7]",
24,"[0.05, 0.35, 0.6]",3.4032912254333496,"[4, 5, 6]",
25,[1],2.534496307373047,[7],
26,"[0.05, 0.05, 0.15, 0.65, 0.10000000000000002]",2.5909676551818848,"[2, 3, 4, 5, 6]",
27,"[0.35, 0.65]",2.512295722961426,"[6, 7]",
28,"[0.45, 0.55]",2.6570799350738525,"[1, 2]",
29,"[0.05, 0.75, 0.2]",2.544948101043701,"[1, 2, 3]",
30,"[0.4, 0.6]",2.5825459957122803,"[6, 7]",
31,"[0.6, 0.4]",3.556264877319336,"[6, 7]",
32,[1],3.5114338397979736,[1],
33,"[0.05, 0.05, 0.25, 0.55, 0.10000000000000002]",3.5841784477233887,"[3, 4, 5, 6, 7]",
34,[1],3.54293155670166,[1],
35,"[0.15, 0.55, 0.29999999999999993]",3.6829721927642822,"[1, 2, 3]",
36,"[0.2, 0.10000000000000002, 0.5, 0.2]",3.4858219623565674,"[3, 4, 5, 6]",
37,[1],3.2192749977111816,[7],
38,"[0.9, 0.10000000000000002]",3.0896410942077637,"[1, 2]",
39,"[0.15, 0.5, 0.2, 0.15]",3.2035672664642334,"[2, 3, 4, 5]",
40,"[0.10000000000000002, 0.10000000000000002, 0.55, 0.25]",3.3818044662475586,"[3, 4, 5, 6]",
41,"[0.05, 0.4, 0.35, 0.2]",3.16684627532959,"[1, 2, 3, 4]",
42,"[0.15, 0.5, 0.2, 0.15]",3.18584942817688,"[2, 3, 4, 5]",
43,[1],2.2526402473449707,[7],
44,"[0.25, 0.75]",2.3990135192871094,"[1, 2]",
45,"[0.29999999999999993, 0.7]",2.362969160079956,"[6, 7]",
46,"[0.35, 0.6, 0.05]",2.501044988632202,"[1, 2, 3]",
47,"[0.35, 0.6, 0.05]",2.3315439224243164,"[1, 2, 3]",
48,"[0.05, 0.65, 0.29999999999999993]",2.3562843799591064,"[5, 6, 7]",
